GeneID,elp1D_1
YER090W,205.8
YER091C,354.5
YER093C,4.1
YER095W,24.2
YER096W,0.5
YER099C,47.7
YER100W,78.2
YER101C,9.7
YER106W,0.7
YER107C,30.2
YER110C,244.3
YER111C,8.9
YER116C,11.7
YER118C,39.1
YER119C,23.2
YER120W,427.9
YER122C,110.1
YER123W,18
YER125W,81.7
YER126C,121.1
YER129W,7.3
YER130C,14.8
YER133W,183.8
YER136W,123.4
YER139C,11.4
YER140W,5.8
YER141W,40.8
YER142C,14.8
YER148W,91.5
YER151C,39.3
YER152C,42
YER153C,19.6
YER156C,122
YER157W,11.8
YER158C,2.3
YER161C,20.6
YER163C,24.1
YER171W,16.4
YER173W,3.8
YER174C,27.1
YER178W,503.8
YER179W,0.8
YER182W,14.4
YER184C,0.5
YER185W,0.7
YER186C,0.7
YFL055W,0.8
YFL054C,1.3
YFL053W,0.1
YFL052W,0.3
YFL049W,10.6
YFL048C,82.4
YFL047W,17.7
YFL044C,38.2
YFL041W,38.9
YFL037W,248.9
YFL034C-B,33.2
YFL033C,5.4
YFL031W,4.2
YFL030W,0.5
YFL029C,14.5
YFL027C,9
YFL026W,198
YFL024C,6.2
YFL022C,233.4
YFL018C,189.8
YFL016C,50.6
YFL013C,17.1
YFL011W,0.2
YFL007W,25.2
YFL004W,126.3
YFL003C,0.4
YFR002W,37.4
YFR007W,9.6
YFR009W,465.3
YFR010W,104.1
YFR013W,13.6
YFR014C,14.8
YFR016C,17.1
YFR018C,21
YFR019W,6
YFR020W,4.1
YFR021W,15.4
YFR022W,0.7
YFR024C-A,100.8
YFR025C,66.4
YFR030W,17.2
YFR031C,7.7
YFR032C,0.5
YFR038W,11.5
YFR039C,18
YFR041C,28.4
YFR043C,40.6
YFR045W,6.7
YFR046C,9.7
YFR047C,65.9
YFR050C,139.8
YFR051C,113.5
YFR052W,149.6
YFR053C,17.9
YFR055W,74.2
YGL263W,2.7
YGL254W,15
YGL253W,829.6
YGL252C,31.3
YGL251C,0.6
YGL250W,4.9
YGL249W,0.1
YGL248W,13.5
YGL246C,24.3
YGL245W,583.9
YGL243W,10.1
YGL241W,10.8
YGL240W,10.7
YGL238W,52.5
YGL237C,12.6
YGL236C,5.3
YGL234W,285.3
YGL232W,43.7
YGL229C,2.8
YGL228W,43.9
YGL227W,6.1
YGL224C,22.7
YGL221C,106.7
YGL219C,15.2
YGL213C,38.5
YGL212W,15.1
YGL211W,28
YGL209W,21.7
YGL207W,116.4
YGL205W,0.2
YGL203C,30.5
YGL202W,366.4
YGL198W,64.3
YGL194C,18.8
YGL190C,35.4
YGL186C,42.1
YGL180W,6.4
YGL176C,3.3
YGL173C,88
YGL172W,50.3
YGL170C,0.1
YGL169W,26
YGL163C,6.5
YGL162W,6.2
