GeneID,WT_1
YER023W,294.4
YER024W,0.7
YER026C,137
YER027C,52.9
YER028C,7
YER032W,10.4
YER033C,2.9
YER038C,3
YER041W,3.9
YER043C,879.2
YER044C-A,0.4
YER048C,84.8
YER049W,78.7
YER052C,88.6
YER053C,5.4
YER054C,0.4
YER059W,13.4
YER061C,10.1
YER064C,65.1
YER065C,0.9
YER076C,4.7
YER078C,13.9
YER082C,38.6
YER083C,67.7
YER086W,132
YER087W,10
YER088C,21.6
YER089C,66.6
YER090W,127.9
YER091C,478.8
YER093C,4.9
YER096W,0.7
YER099C,38.2
YER100W,90.5
YER101C,7.8
YER103W,9
YER106W,0.2
YER107C,34.6
YER110C,254.9
YER111C,11.2
YER116C,9.9
YER118C,42.5
YER120W,320.6
YER122C,95.8
YER123W,19.4
YER125W,86.1
YER126C,112.5
YER127W,41.8
YER130C,16.7
YER133W,198.5
YER136W,121
YER139C,12.1
YER140W,8.4
YER142C,12.2
YER143W,26.7
YER144C,5.4
YER148W,105.4
YER149C,18
YER151C,39.7
YER152C,23.8
YER153C,13.4
YER154W,22.9
YER156C,93.2
YER158C,2.7
YER161C,17.2
YER163C,26.5
YER166W,21.9
YER167W,9.5
YER168C,26.6
YER169W,10.2
YER173W,3.1
YER175C,11.2
YER176W,16.7
YER178W,493.2
YER179W,0.8
YER182W,17.3
YER184C,1.1
YER185W,0.3
YER186C,0.3
YFL055W,0.5
YFL054C,0.7
YFL053W,0.1
YFL052W,0.5
YFL049W,11.4
YFL048C,80.8
YFL047W,17.1
YFL044C,31.9
YFL041W,39
YFL039C,2058.9
YFL037W,257.8
YFL034C-B,29.6
YFL034W,7
YFL031W,7.8
YFL030W,0.4
YFL029C,11.8
YFL028C,35.3
YFL026W,166.5
YFL024C,7.1
YFL018C,165.2
YFL013C,16.5
YFL011W,0.1
YFL004W,126.5
YFL003C,0.3
YFL002C,19.3
YFR002W,33.6
YFR004W,119.9
YFR005C,14.4
YFR009W,460.8
YFR010W,87.5
YFR013W,15.2
YFR015C,3.2
YFR018C,23.9
YFR021W,13.4
YFR022W,1.2
YFR023W,0.2
YFR024C-A,103.5
YFR025C,63.7
YFR027W,7.2
YFR028C,32.2
YFR029W,5.9
YFR031C,7.3
YFR032C,0.5
YFR039C,20.8
YFR041C,35.4
YFR043C,32.7
YFR044C,224.7
YFR047C,50.9
YFR050C,163.4
YFR051C,117.5
YFR055W,70.5
YGL263W,1.1
YGL257C,11.4
YGL256W,8.9
YGL254W,12.4
YGL253W,1389.8
YGL252C,27
YGL251C,0.5
YGL249W,0.2
YGL246C,24.2
YGL245W,455
YGL244W,48.4
YGL243W,8.4
YGL238W,48.9
YGL236C,6.2
YGL234W,227.6
YGL233W,15.9
YGL232W,61.8
YGL228W,57.1
YGL224C,20.8
YGL223C,18
YGL221C,92.1
YGL215W,21.8
YGL213C,44.8
YGL212W,16.4
YGL211W,17.7
YGL209W,21.8
YGL207W,103
YGL205W,0.3
YGL203C,41.9
YGL202W,264.8
YGL196W,21.9
YGL192W,0.1
YGL186C,35.3
YGL185C,11.1
YGL184C,6
YGL178W,13
YGL173C,120.7
YGL171W,39.7
YGL169W,21.6
YGL164C,13.2
YGL163C,6.1
