GeneID,Phi
YDR058C,14.3
YDR061W,32.05
YDR064W,3225.15
YDR065W,26.3
YDR066C,16.95
YDR068W,62.05
YDR071C,488.6
YDR072C,107.45
YDR073W,21.1
YDR074W,71.80000000000001
YDR075W,34.7
YDR076W,5.45
YDR077W,997.4
YDR081C,23.1
YDR083W,61.9
YDR084C,104.1
YDR089W,33.5
YDR090C,37.7
YDR092W,198.05
YDR096W,15.45
YDR101C,122.2
YDR104C,6.800000000000001
YDR109C,10.05
YDR111C,17.9
YDR116C,60.55
YDR117C,53.099999999999994
YDR118W,14.5
YDR122W,29.7
YDR123C,15.05
YDR124W,1.1
YDR125C,4.9
YDR127W,131
YDR129C,235.95
YDR131C,13.95
YDR135C,107.45
YDR138W,33.3
YDR141C,37.95
YDR142C,15.25
YDR144C,92
YDR146C,37.55
YDR148C,96.25
YDR151C,62.9
YDR153C,51.900000000000006
YDR155C,2540.45
YDR158W,649.6
YDR164C,35.7
YDR165W,110.55
YDR166C,33.15
YDR168W,186.55
YDR171W,58
YDR175C,60.8
YDR176W,24.8
YDR178W,76.15
YDR179W-A,11.25
YDR183W,32
YDR184C,33.150000000000006
YDR185C,7.8
YDR192C,21.200000000000003
YDR194C,96.95
YDR195W,22.15
YDR197W,17
YDR198C,20.4
YDR204W,38.8
YDR205W,29.65
YDR214W,173.55
YDR218C,0.55
YDR221W,36.5
YDR222W,18.55
YDR223W,1
YDR226W,1202.4
YDR228C,25.799999999999997
YDR231C,22.799999999999997
YDR234W,49.25
YDR235W,26.700000000000003
YDR236C,45.349999999999994
YDR237W,70
YDR238C,222.85
YDR239C,15
YDR249C,7.15
YDR254W,11.7
YDR255C,11.65
YDR256C,0.4
YDR257C,37.05
YDR258C,82.15
YDR259C,3.5500000000000003
YDR260C,38
YDR262W,70.15
YDR265W,13.65
YDR270W,39.75
YDR272W,91.7
YDR275W,14.95
YDR282C,11.95
YDR283C,21.65
YDR292C,81.5
YDR296W,61.45
YDR298C,185.65
YDR301W,22.25
YDR304C,438.0499999999999
YDR307W,61.2
YDR313C,15.95
YDR314C,3.95
YDR315C,10.4
YDR317W,3.95
YDR319C,40.25
YDR322W,65.3
YDR325W,19.299999999999997
YDR328C,167.3
YDR329C,39.6
YDR331W,77.9
YDR332W,7.15
YDR337W,64.8
YDR339C,105.6
YDR341C,403.4
YDR346C,232.25
YDR347W,77.6
YDR348C,36.599999999999994
YDR349C,38.849999999999994
YDR350C,7.75
YDR352W,48.2
YDR353W,548.85
YDR354W,60.900000000000006
YDR363W,10
YDR364C,11.8
YDR368W,219.2
YDR370C,18.35
YDR372C,152.3
YDR374C,0.75
YDR379W,11.55
YDR380W,8.95
YDR383C,12.65
YDR386W,10.8
YDR387C,9.25
YDR393W,18.1
YDR402C,0.35
YDR404C,121.65
YDR405W,32.55
YDR409W,12.05
YDR412W,60.5
YDR415C,46.6
YDR422C,21.75
YDR427W,301.7
YDR430C,54.7
YDR434W,91.55
YDR438W,0.95
YDR439W,15.8
YDR441C,37.05
YDR446W,0.6
YDR449C,71.15
YDR451C,48.099999999999994
YDR456W,72.55000000000001
YDR457W,44.05
YDR459C,9
YDR466W,14.15
YDR468C,63.099999999999994
YDR470C,32.2
YDR472W,43.8
YDR473C,13.9
YDR475C,9.55
YDR478W,17.700000000000003
YDR479C,18.6
YDR483W,342.05
YDR484W,25.6
YDR485C,12.45
YDR486C,84.5
YDR487C,220.3
YDR488C,10.5
YDR498C,24.85
YDR499W,9.25
YDR506C,12.75
YDR516C,98.3
YDR517W,67.15
YDR518W,111.55
YDR522C,0.7
YDR523C,0.5
YDR524C,24.45
YDR533C,26.35
YDR536W,0.55
YDR538W,25.6
YDR539W,46.75
YDR540C,3.85
YDR541C,7.75
YEL071W,516.2
YEL067C,2.05
YEL062W,12.25
YEL058W,85.05
YEL057C,1.1
YEL055C,86.15
YEL053C,24.3
YEL052W,26.95
YEL051W,424.9
YEL050C,43.349999999999994
YEL048C,50.5
YEL038W,73.35
YEL037C,147.35
YEL036C,59.15
YEL035C,0.25
YEL030W,0.8500000000000001
YEL027W,1787.35
YEL024W,49.95
YEL023C,0.5
YEL020C,7.25
YEL019C,13
YEL018W,24.75
YEL015W,51.9
YEL011W,17.4
YEL009C,85.2
YEL007W,67.1
YEL005C,9.8
YEL004W,22.549999999999997
YEL002C,296
YEL001C,344.6
YER001W,51.099999999999994
YER002W,120.7
YER007W,7.4
YER012W,407.25
YER013W,14.55
YER014W,35.95
YER014C-A,0.25
YER028C,7.15
YER029C,44.849999999999994
YER034W,32.2
YER037W,30.55
YER039C,2.65
YER041W,6.8
YER042W,171.65
YER044C-A,0.35
YER048C,140.05
YER049W,117.65
YER052C,136.3
YER053C,15.05
YER054C,0.95
YER061C,16.7
YER068W,50.45
YER069W,15.9
YER073W,167
YER076C,7.6
YER085C,0.5
YER087W,23.299999999999997
YER090W,206.2
YER091C,401.1
YER098W,5.949999999999999
YER100W,148.3
YER103W,21.2
YER106W,0.7
YER110C,378.7
YER120W,375.2000000000001
YER122C,163.5
YER124C,186.4
YER128W,15.5
YER130C,35.25
YER132C,8.6
YER133W,380.05
YER139C,27.25
YER145C,282.35
YER148W,146.05
YER149C,35.95
YER152C,36.2
YER153C,14.2
YER158C,6.4
YER161C,21.3
YER164W,22.85
YER165W,817.05
YER166W,41.2
YER168C,54.15
YER171W,26.45
YER176W,20.6
YER179W,1.85
YER180C,1.15
YER182W,31.8
YER183C,52.900000000000006
YER185W,2.25
YER186C,1.6
YFL067W,8.9
YFL055W,1.6
YFL053W,0.6
YFL052W,0.95
YFL051C,0.6499999999999999
YFL045C,921.95
YFL040W,0.2
YFL039C,2352.1
YFL037W,439.6
YFL034C-B,45.85
YFL031W,47.6
YFL030W,1.95
YFL029C,25.299999999999997
YFL026W,313.75
YFL023W,20.4
YFL022C,276.54999999999995
YFL016C,71.75
YFL008W,31.2
YFL007W,49.650000000000006
YFL005W,318.05
YFL004W,165.75
YFL002C,31.200000000000003
YFR012W,0.45
YFR015C,9.25
YFR016C,23.45
YFR019W,12.5
YFR021W,17.85
YFR023W,0.25
