# Created by: riboviz
# Date: 2025-11-20 22:00:12.657421
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/collate_tpms.R
# Version: commit 45514cc565e3cdbb4e44ca919964ab8b8e1ee045 date 2025-10-13 22:13:08 GMT
ORF	OTTR_P1_2
YBR121C	590.5
YBR122C	88.6
YBR123C	21.6
YBR125C	38.1
YBR126C	155.7
YBR126W-A	174.5
YBR127C	750.9
YBR128C	5.6
YBR129C	37.5
YBR130C	66
YBR131W	12.1
YBR132C	35.4
YBR133C	25.3
YBR135W	52.1
YBR136W	8.5
YBR137W	102.1
YBR138C	18.2
YBR139W	103.1
YBR140C	20.6
YBR141C	13.1
YBR142W	54.4
YBR143C	493.5
YBR145W	32.2
YBR146W	114
YBR147W	5.3
YBR148W	2.2
YBR149W	266.5
YBR150C	15.1
YBR151W	63.6
YBR152W	13
YBR153W	18.4
YBR154C	242.3
YBR155W	66
YBR156C	11.9
YBR157C	24.8
YBR158W	62.7
YBR159W	312.2
YBR160W	70.7
YBR161W	23.3
YBR162C	780.6
YBR162W-A	312.4
YBR163W	10.8
YBR164C	228.6
YBR165W	38.4
YBR166C	68.4
YBR167C	26.4
YBR168W	13.6
YBR169C	38
YBR170C	65.3
YBR171W	162.2
YBR172C	34.1
YBR173C	196.8
YBR175W	24.5
YBR176W	41.3
YBR177C	93.9
YBR179C	29.2
YBR180W	0.6
YBR181C	2733.2
YBR182C	2
YBR182C-A	0.9
YBR183W	9.8
YBR184W	4.8
YBR185C	56.7
YBR186W	3
YBR187W	175.2
YBR188C	27.4
YBR189W	2719.4
YBR191W	2519.4
YBR192W	41.2
YBR193C	33.8
YBR194W	22.8
YBR195C	23.4
YBR196C	2394
YBR196C-A	1530.1
YBR196C-B	3.6
YBR197C	12.1
YBR198C	42.5
YBR199W	180.2
YBR200W	36.5
YBR200W-A	0
YBR201C-A	12.3
YBR201W	28.7
YBR202W	41.2
YBR203W	1.4
YBR204C	31.3
YBR205W	185.8
YBR207W	93.8
YBR208C	22.5
YBR210W	63.5
YBR211C	28.6
YBR212W	36.4
YBR213W	10.8
YBR214W	39
YBR215W	18.1
YBR216C	31.5
YBR217W	9.6
YBR218C	107.3
YBR219C	34.4
YBR220C	37.3
YBR221C	609.5
YBR221W-A	0.7
YBR222C	81.4
YBR223C	7.6
YBR225W	9.3
YBR227C	34.4
YBR228W	7.8
YBR229C	66.1
YBR230C	99.8
YBR230W-A	24.4
YBR231C	19.4
YBR233W	28.3
YBR233W-A	44.7
YBR234C	171.3
YBR235W	21
YBR236C	45.4
YBR237W	8
YBR238C	32.4
YBR239C	6.6
YBR240C	2.3
YBR241C	16.4
YBR242W	43.6
YBR243C	61.5
YBR244W	311.7
YBR245C	50
YBR246W	35.2
YBR247C	72.6
YBR248C	89.9
YBR249C	460.7
YBR250W	0.8
YBR251W	63.4
YBR252W	171.6
YBR253W	54.6
YBR254C	62.7
YBR255C-A	32.2
YBR255W	8.2
YBR256C	78.9
YBR257W	32
YBR258C	20.8
YBR259W	6.5
YBR260C	34.7
YBR261C	87.4
YBR262C	68.7
YBR263W	279.2
YBR264C	34.8
YBR265W	77.7
YBR267W	37.5
YBR268W	91.3
YBR269C	81.1
YBR270C	4.2
YBR271W	22.2
YBR272C	37.9
YBR273C	40.2
YBR274W	17.7
YBR275C	16.1
YBR276C	16.1
YBR278W	26.4
YBR279W	60.8
YBR280C	12.3
YBR281C	36.6
YBR282W	76.4
YBR283C	433.7
YBR284W	2.8
YBR285W	5.9
YBR286W	756.3
YBR287W	81.8
YBR288C	69
YBR289W	19.9
YBR290W	60.4
YBR291C	20.2
YBR293W	6
YBR294W	0.2
YBR295W	5.2
YBR296C	31.5
YBR296C-A	1.3
YBR297W	8.9
YBR298C	0.8
YBR298C-A	2.5
YBR299W	2.3
YBR301W	7.5
YBR302C	85.7
YCL001W	224.8
YCL001W-A	0.4
YCL001W-B	0.7
YCL002C	19.9
YCL004W	5.9
YCL005W	25
YCL005W-A	361.8
YCL008C	35.3
YCL009C	265.5
YCL010C	24.1
YCL011C	97.1
YCL012C	48.4
YCL014W	19.3
YCL016C	15.2
YCL017C	120.8
YCL018W	0
YCL021W-A	61.8
YCL024W	12
YCL025C	20
YCL026C-A	2.1
YCL026C-B	26.6
YCL027W	5.2
YCL028W	156.6
YCL029C	17.2
YCL030C	200.2
YCL031C	115.5
YCL032W	19.6
YCL033C	55.8
YCL034W	59.3
YCL035C	297.5
YCL036W	5.4
YCL037C	199.5
YCL038C	30.2
YCL039W	17.3
YCL040W	193.2
YCL042W	179.7
YCL043C	795.2
YCL044C	36.6
YCL045C	177.8
YCL047C	61.9
YCL048W	1.1
YCL048W-A	0
YCL049C	38.4
YCL050C	549.9
YCL051W	12.3
YCL052C	31.5
YCL054W	51.5
YCL054W-A	95.2
YCL055W	39.2
YCL056C	21.4
YCL057C-A	140.3
YCL057W	151.7
YCL058C	76.5
YCL058W-A	20.1
YCL059C	121.3
YCL061C	16.3
YCL063W	27.8
YCL064C	628.6
YCL068C	5.2
YCL069W	1
YCL073C	1.3
YCR002C	200.5
YCR003W	96
YCR004C	262.5
YCR005C	180.2
YCR007C	3.9
YCR008W	25.7
YCR009C	263.2
YCR010C	1.3
YCR011C	81.6
YCR012W	5637.8
YCR014C	1.1
YCR015C	18.3
YCR016W	69.1
YCR017C	136.4
YCR018C	16.5
YCR019W	18.7
YCR020C	20.4
YCR020C-A	72.5
YCR020W-B	86
YCR021C	4.4
YCR023C	25.6
YCR024C	17.7
YCR024C-A	1631.5
YCR024C-B	859.5
YCR026C	37.5
YCR027C	29.1
YCR028C	32
YCR028C-A	724.4
YCR030C	46
YCR031C	2587.4
YCR032W	8.4
YCR033W	17.5
YCR034W	412.4
YCR035C	65.9
YCR036W	55.4
YCR037C	26.2
YCR038C	7.8
YCR039C	18.4
YCR040W	1.1
YCR041W	1.4
YCR042C	25.2
YCR043C	118.6
YCR044C	65.3
YCR045C	1.2
YCR046C	62
YCR047C	30.4
YCR048W	39.7
YCR050C	0
YCR051W	48.8
YCR052W	51.4
YCR053W	636.5
YCR054C	22.3
YCR057C	49.9
YCR059C	27.8
YCR060W	48.2
YCR061W	59.7
YCR063W	12.5
YCR065W	34.2
YCR066W	10.3
YCR067C	49.6
YCR068W	17.1
YCR069W	142
YCR071C	69.4
YCR072C	39.9
YCR073C	4
YCR073W-A	44.1
YCR075C	28.9
YCR075W-A	81.6
YCR076C	28.9
YCR077C	83.7
YCR079W	6.4
YCR081W	16
YCR082W	175.1
YCR083W	99.5
YCR084C	111.9
YCR086W	32.3
YCR087C-A	75.4
YCR088W	224.7
YCR089W	2
YCR090C	108.1
YCR091W	4.4
YCR092C	16.5
YCR093W	71.9
YCR094W	66.3
YCR095C	33.7
YCR095W-A	4.8
YCR098C	1.9
YCR099C	1.3
YCR100C	1
YCR101C	4.4
YCR102C	2.4
YCR104W	22.2
YCR105W	2.1
YCR106W	6.6
YCR107W	1.8
YCR108C	4.6
YDL001W	20.5
YDL002C	51.1
YDL003W	50.1
YDL004W	261.2
YDL005C	42.3
YDL006W	28.2
YDL007C-A	1.4
YDL007W	276.8
YDL008W	47.6
YDL009C	0
YDL010W	79.3
YDL012C	83.6
YDL013W	12.8
YDL014W	513.4
YDL015C	370.5
YDL017W	14.4
YDL018C	69.5
YDL019C	32.7
YDL020C	73.5
YDL021W	24.2
YDL022C-A	0
YDL022W	233.7
YDL024C	1.2
YDL025C	18.3
YDL027C	22.5
YDL028C	15.7
YDL029W	279.5
YDL030W	20.9
YDL031W	52.8
YDL033C	7.6
YDL035C	28
YDL036C	16.7
YDL037C	1.2
YDL039C	0.8
YDL040C	138.2
YDL042C	29.2
YDL043C	31.8
YDL044C	21.1
YDL045C	41.4
YDL045W-A	146.7
YDL046W	311
YDL047W	69.1
YDL048C	1.4
YDL049C	5.9
YDL051W	190.7
YDL052C	184.1
YDL053C	79.3
YDL054C	37.8
YDL055C	2017.7
YDL056W	18.6
YDL057W	11.1
YDL058W	41.4
YDL059C	10.7
YDL060W	53.6
YDL061C	1925.5
YDL063C	58
YDL064W	158.3
YDL065C	63.4
YDL066W	321.2
YDL067C	229.6
YDL069C	12.8
YDL070W	83.4
YDL072C	296.2
YDL073W	17.3
YDL074C	54.9
YDL075W	2478.5
YDL076C	38.9
YDL077C	16.8
YDL078C	161.2
YDL079C	0.5
YDL080C	9.8
YDL081C	2140
YDL082W	1479.6
YDL083C	2031.9
YDL084W	769.9
YDL085C-A	60.6
YDL085W	1.1
YDL086W	90.1
YDL087C	11.5
YDL088C	32.8
YDL089W	29.3
YDL090C	24.5
YDL091C	21.5
YDL092W	134.3
YDL093W	57.7
YDL095W	264.5
YDL097C	251.3
YDL098C	33.8
YDL099W	69.3
YDL100C	472.7
YDL101C	30.5
YDL102W	34.2
YDL103C	98.8
YDL104C	7.6
YDL105W	14.1
YDL106C	37.1
YDL107W	21.6
YDL108W	29.4
YDL109C	2.7
YDL110C	37.4
YDL111C	75.4
YDL112W	55.3
YDL113C	20
YDL114W	0.3
YDL115C	19
YDL116W	62.2
YDL117W	22.1
YDL119C	19
YDL120W	91.9
YDL121C	199.4
YDL122W	59.8
YDL123W	58.7
YDL124W	283
YDL125C	439.5
YDL126C	634
YDL127W	30.6
YDL128W	148.7
YDL129W	13.3
YDL130W	1962.5
YDL130W-A	93.2
YDL131W	338.3
YDL132W	87.9
YDL133C-A	3450.5
YDL133W	21.2
YDL134C	95.8
YDL135C	213.7
YDL136W	2467.7
YDL137W	696
YDL138W	4.3
YDL139C	7.8
YDL140C	158.8
YDL141W	45.4
YDL142C	23
YDL143W	236
YDL144C	33.3
YDL145C	227
YDL146W	14.7
YDL147W	278
YDL148C	60.9
YDL149W	9.8
YDL150W	26.7
YDL153C	75.2
YDL154W	0.7
YDL155W	30.8
YDL156W	12.4
YDL157C	226.5
YDL159W	18.2
YDL159W-A	7.4
YDL160C	263.9
YDL160C-A	38.3
YDL161W	62
YDL164C	34.1
YDL165W	105.2
YDL166C	86.6
YDL167C	38
YDL168W	127
YDL169C	7.2
YDL170W	11.8
YDL171C	92.4
YDL173W	70.6
YDL174C	29.8
YDL175C	18.9
YDL176W	9.2
YDL177C	13
YDL178W	66.9
YDL179W	30.6
YDL180W	25.2
YDL181W	32.5
YDL182W	423.3
YDL183C	10.1
YDL184C	3305.4
YDL185W	788.6
YDL186W	0.2
YDL188C	83.6
YDL189W	34.9
YDL190C	66.4
YDL191W	2651.7
YDL192W	1593.4
YDL193W	79.5
YDL194W	5.1
YDL195W	178.4
YDL197C	5.6
YDL198C	118.2
YDL199C	6.5
YDL200C	32.6
YDL201W	70.1
YDL202W	66.2
YDL203C	17.5
YDL204W	4.9
YDL205C	59.6
YDL206W	6.2
YDL207W	21
YDL208W	347.8
YDL209C	20.4
YDL210W	1.8
YDL211C	9.2
YDL212W	308.1
YDL213C	73.1
YDL214C	0.2
YDL215C	37
YDL216C	10.4
YDL217C	66
YDL218W	0.5
YDL219W	146.9
YDL220C	8.5
YDL222C	2.4
YDL223C	2.9
YDL224C	43.7
YDL225W	79.9
YDL226C	151
YDL227C	62.3
YDL229W	2805.1
YDL230W	21.5
YDL231C	3.1
YDL232W	146.9
YDL233W	15.1
