# Created by: riboviz
# Date: 2026-03-12 11:46:19.396859
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/generate_stats_figs.R
# Version: commit 03b0bd34ede443b51056ae76c0163ac8fc3b4ac5 date 2025-10-21 14:29:00 GMT
ReadLen	Pos	Counts
34	-6	293
35	-6	70
36	-6	17
37	-6	11
38	-6	3
39	-6	0
40	-6	0
41	-6	0
42	-6	0
43	-6	0
44	-6	0
45	-6	0
46	-6	0
47	-6	0
48	-6	0
49	-6	0
50	-6	0
10	-5	0
11	-5	0
12	-5	0
13	-5	0
14	-5	0
15	-5	0
16	-5	1
17	-5	3
18	-5	0
19	-5	1
20	-5	1
21	-5	1
22	-5	9
23	-5	31
24	-5	107
25	-5	128
26	-5	96
27	-5	123
28	-5	415
29	-5	1639
30	-5	3389
31	-5	3430
32	-5	1454
33	-5	689
34	-5	374
35	-5	74
36	-5	7
37	-5	1
38	-5	0
39	-5	0
40	-5	0
41	-5	0
42	-5	0
43	-5	0
44	-5	0
45	-5	0
46	-5	0
47	-5	0
48	-5	0
49	-5	0
50	-5	0
10	-4	0
11	-4	0
12	-4	0
13	-4	0
14	-4	0
15	-4	0
16	-4	2
17	-4	2
18	-4	0
19	-4	0
20	-4	1
21	-4	8
22	-4	21
23	-4	46
24	-4	70
25	-4	56
26	-4	74
27	-4	102
28	-4	228
29	-4	457
30	-4	1566
31	-4	2578
32	-4	3323
33	-4	2121
34	-4	504
35	-4	50
36	-4	9
37	-4	4
38	-4	1
39	-4	0
40	-4	0
41	-4	0
42	-4	0
43	-4	0
44	-4	0
45	-4	0
46	-4	0
47	-4	0
48	-4	0
49	-4	0
50	-4	0
10	-3	0
11	-3	0
12	-3	0
13	-3	0
14	-3	0
15	-3	3
16	-3	1
17	-3	0
18	-3	1
19	-3	2
20	-3	7
21	-3	16
22	-3	41
23	-3	69
24	-3	79
25	-3	114
26	-3	120
27	-3	143
28	-3	201
29	-3	1928
30	-3	5986
31	-3	8987
32	-3	7163
33	-3	2357
34	-3	233
35	-3	25
36	-3	15
37	-3	7
38	-3	2
39	-3	0
40	-3	0
41	-3	0
42	-3	0
43	-3	0
44	-3	0
45	-3	0
46	-3	0
47	-3	0
48	-3	0
49	-3	0
50	-3	0
10	-2	0
11	-2	0
12	-2	0
13	-2	0
14	-2	0
15	-2	2
16	-2	2
17	-2	0
18	-2	1
19	-2	8
20	-2	23
21	-2	55
22	-2	54
23	-2	42
24	-2	63
25	-2	82
26	-2	86
27	-2	109
28	-2	473
29	-2	2200
30	-2	4228
31	-2	2814
32	-2	1223
33	-2	298
34	-2	96
35	-2	35
36	-2	14
37	-2	3
38	-2	0
39	-2	0
40	-2	0
41	-2	0
42	-2	0
43	-2	0
44	-2	0
45	-2	0
46	-2	0
47	-2	0
48	-2	0
49	-2	0
